Element, Terminal,  I1, %Normal, %Emergency, I2, %I2/I1, I0, %I0/I1, Iresidual, %NEMA
"Vsource.SOURCE",   1,    17021.9,        0,        0,    1061.43,    6.236,    137.742,   0.8092,    413.225,     5.25
"Vsource.SOURCE",   2,    17021.9,        0,        0,    1061.43,    6.236,    137.742,   0.8092,    413.225,     5.25
"Transformer.REG1A",   1,    17021.9,     2228,     1634,    1061.43,    6.236,    137.742,   0.8092, 2.91038E-009,     5.25
"Transformer.REG1A",   2,    15474.5,        0,        0,    964.933,    6.236,     125.22,   0.8092, 2.91038E-009,     5.25
"Line.L115",   1,    15474.5,     2579,     2579,    964.933,    6.236,     125.22,   0.8092,    375.659,     5.25
"Line.L115",   2,    15474.5,        0,        0,    964.933,    6.236,     125.22,   0.8092,    375.659,     5.25
"Line.L1",   1,          0,        0,        0,          0,        0,          0,        0,    3.11681,        0
"Line.L1",   2,          0,        0,        0,          0,        0,          0,        0,    3.11681,        0
"Line.L2",   1,          0,        0,        0,          0,        0,          0,        0,    15.5252,        0
"Line.L2",   2,          0,        0,        0,          0,        0,          0,        0,    15.5252,        0
"Line.L3",   1,    15467.8,     2578,     2578,    964.776,    6.237,    124.845,   0.8071,    374.535,    5.264
"Line.L3",   2,    15467.8,        0,        0,    964.776,    6.237,    124.845,   0.8071,    374.535,    5.264
"Line.L4",   1,          0,        0,        0,          0,        0,          0,        0,    6.27953,        0
"Line.L4",   2,          0,        0,        0,          0,        0,          0,        0,    6.27953,        0
"Line.L5",   1,          0,        0,        0,          0,        0,          0,        0,     9.2464,        0
"Line.L5",   2,          0,        0,        0,          0,        0,          0,        0,     9.2464,        0
"Line.L6",   1,          0,        0,        0,          0,        0,          0,        0,    6.14164,        0
"Line.L6",   2,          0,        0,        0,          0,        0,          0,        0,    6.14164,        0
"Line.L7",   1,      15467,     2578,     2578,    963.839,    6.232,    125.836,   0.8136,    377.508,    5.254
"Line.L7",   2,      15467,        0,        0,    963.839,    6.232,    125.836,   0.8136,    377.508,    5.254
"Line.L8",   1,          0,        0,        0,          0,        0,          0,        0,    2.95324,        0
"Line.L8",   2,          0,        0,        0,          0,        0,          0,        0,    2.95324,        0
"Line.L9",   1,          0,        0,        0,          0,        0,          0,        0,    14.8759,        0
"Line.L9",   2,          0,        0,        0,          0,        0,          0,        0,    14.8759,        0
"Line.L10",   1,    15462.3,     2577,     2577,    959.957,    6.208,    130.144,   0.8417,    390.433,     5.21
"Line.L10",   2,    15462.3,        0,        0,    959.957,    6.208,    130.144,   0.8417,    390.433,     5.21
"Line.L11",   1,          0,        0,        0,          0,        0,          0,        0,    8.50398,        0
"Line.L11",   2,          0,        0,        0,          0,        0,          0,        0,    8.50398,        0
"Line.L12",   1,          0,        0,        0,          0,        0,          0,        0,    12.5308,        0
"Line.L12",   2,          0,        0,        0,          0,        0,          0,        0,    12.5308,        0
"Line.L13",   1,    15382.4,     5127,     2564,    955.867,    6.214,     133.27,   0.8664,    399.811,    5.212
"Line.L13",   2,    15382.4,        0,        0,    955.867,    6.214,     133.27,   0.8664,    399.811,    5.212
"Line.L14",   1,          0,        0,        0,          0,        0,          0,        0,    5.57854,        0
"Line.L14",   2,          0,        0,        0,          0,        0,          0,        0,    5.57854,        0
"Line.L15",   1,          0,        0,        0,          0,        0,          0,        0,    2.92649,        0
"Line.L15",   2,          0,        0,        0,          0,        0,          0,        0,    2.92649,        0
"Line.L16",   1,          0,        0,        0,          0,        0,          0,        0,    5.16498,        0
"Line.L16",   2,          0,        0,        0,          0,        0,          0,        0,    5.16498,        0
"Line.L17",   1,          0,        0,        0,          0,        0,          0,        0,    2.58233,        0
"Line.L17",   2,          0,        0,        0,          0,        0,          0,        0,    2.58233,        0
"Line.L18",   1,          0,        0,        0,          0,        0,          0,        0,    6.23781,        0
"Line.L18",   2,          0,        0,        0,          0,        0,          0,        0,    6.23781,        0
"Line.L19",   1,    15362.3,     5121,     2560,    954.301,    6.212,    135.526,   0.8822,    406.577,      5.2
"Line.L19",   2,    15362.3,        0,        0,    954.301,    6.212,    135.526,   0.8822,    406.577,      5.2
"Line.L20",   1,          0,        0,        0,          0,        0,          0,        0,      3.118,        0
"Line.L20",   2,          0,        0,        0,          0,        0,          0,        0,      3.118,        0
"Line.L21",   1,          0,        0,        0,          0,        0,          0,        0,    2.86013,        0
"Line.L21",   2,          0,        0,        0,          0,        0,          0,        0,    2.86013,        0
"Line.L22",   1,    15361.6,     5121,     2560,    955.026,    6.217,    134.921,   0.8783,    404.763,    5.204
"Line.L22",   2,    15361.6,        0,        0,    955.026,    6.217,    134.921,   0.8783,    404.763,    5.204
"Line.L23",   1,          0,        0,        0,          0,        0,          0,        0,    2.34614,        0
"Line.L23",   2,          0,        0,        0,          0,        0,          0,        0,    2.34614,        0
"Line.L24",   1,    15360.9,     5120,     2560,    955.217,    6.218,    134.692,   0.8769,    404.077,    5.209
"Line.L24",   2,    15360.9,        0,        0,    955.217,    6.218,    134.692,   0.8769,    404.077,    5.209
"Line.L25",   1,          0,        0,        0,          0,        0,          0,        0,    2.17503,        0
"Line.L25",   2,          0,        0,        0,          0,        0,          0,        0,    2.17503,        0
"Line.L26",   1,    15359.8,     5120,     2560,    954.748,    6.216,    135.176,   0.8801,    405.527,    5.207
"Line.L26",   2,    15359.8,        0,        0,    954.748,    6.216,    135.176,   0.8801,    405.527,    5.207
"Line.L27",   1,          0,        0,        0,          0,        0,          0,        0,    1.91941,        0
"Line.L27",   2,          0,        0,        0,          0,        0,          0,        0,    1.91941,        0
"Line.L28",   1,          0,        0,        0,          0,        0,          0,        0,    2.04523,        0
"Line.L28",   2,          0,        0,        0,          0,        0,          0,        0,    2.04523,        0
"Line.L29",   1,          0,        0,        0,          0,        0,          0,        0,    1.91995,        0
"Line.L29",   2,          0,        0,        0,          0,        0,          0,        0,    1.91995,        0
"Line.L30",   1,    15359.4,     5120,     2560,    954.312,    6.213,    135.643,   0.8831,     406.93,    5.202
"Line.L30",   2,    15359.4,        0,        0,    954.312,    6.213,    135.643,   0.8831,     406.93,    5.202
"Line.L31",   1,    15359.2,     5120,     2560,     954.03,    6.211,    135.946,   0.8851,    407.838,    5.199
"Line.L31",   2,    15359.2,        0,        0,     954.03,    6.211,    135.946,   0.8851,    407.838,    5.199
"Line.L32",   1,    15359.1,     5120,     2560,    954.059,    6.212,    135.913,   0.8849,    407.738,      5.2
"Line.L32",   2,    15359.1,        0,        0,    954.059,    6.212,    135.913,   0.8849,    407.738,      5.2
"Line.L33",   1,          0,        0,        0,          0,        0,          0,        0,    1.02256,        0
"Line.L33",   2,          0,        0,        0,          0,        0,          0,        0,    1.02256,        0
"Line.L34",   1,          0,        0,        0,          0,        0,          0,        0,     7.7471,        0
"Line.L34",   2,          0,        0,        0,          0,        0,          0,        0,     7.7471,        0
"Line.L35",   1,          0,        0,        0,          0,        0,          0,        0,    3.15628,        0
"Line.L35",   2,          0,        0,        0,          0,        0,          0,        0,    3.15628,        0
"Line.L36",   1,    18.5491,    6.183,    3.092,    1.24941,    6.736,   0.129074,   0.6958,   0.387222,    7.131
"Line.L36",   2,    18.5498,        0,        0,    1.24951,    6.736,   0.129033,   0.6956,   0.387222,    7.131
"Line.L37",   1,          0,        0,        0,          0,        0,          0,        0,    3.11599,        0
"Line.L37",   2,          0,        0,        0,          0,        0,          0,        0,    3.11599,        0
"Line.L38",   1,          0,        0,        0,          0,        0,          0,        0,    3.45456,        0
"Line.L38",   2,          0,        0,        0,          0,        0,          0,        0,    3.45456,        0
"Line.L39",   1,          0,        0,        0,          0,        0,          0,        0,    1.73592,        0
"Line.L39",   2,          0,        0,        0,          0,        0,          0,        0,    1.73592,        0
"Line.L40",   1,          0,        0,        0,          0,        0,          0,        0,    1.68422,        0
"Line.L40",   2,          0,        0,        0,          0,        0,          0,        0,    1.68422,        0
"Line.L41",   1,    17.9891,    5.996,    2.998,    1.70473,    9.476,   0.619293,    3.443,    1.85788,    11.34
"Line.L41",   2,    17.9898,        0,        0,    1.70487,    9.477,   0.619276,    3.442,    1.85788,    11.34
"Line.L42",   1,          0,        0,        0,          0,        0,          0,        0,    3.40312,        0
"Line.L42",   2,          0,        0,        0,          0,        0,          0,        0,    3.40312,        0
"Line.L43",   1,    16.3517,    5.451,    2.725,   0.711298,     4.35,   0.415999,    2.544,      1.248,    2.464
"Line.L43",   2,    16.3523,        0,        0,   0.711421,    4.351,    0.41603,    2.544,      1.248,    2.464
"Line.L44",   1,          0,        0,        0,          0,        0,          0,        0,     3.1163,        0
"Line.L44",   2,          0,        0,        0,          0,        0,          0,        0,     3.1163,        0
"Line.L45",   1,    15.3311,     5.11,    2.555,    1.08703,     7.09,   0.882527,    5.756,    2.64758,    11.81
"Line.L45",   2,    15.3319,        0,        0,    1.08698,     7.09,   0.882506,    5.756,    2.64758,    11.81
"Line.L46",   1,          0,        0,        0,          0,        0,          0,        0,    1.55833,        0
"Line.L46",   2,          0,        0,        0,          0,        0,          0,        0,    1.55833,        0
