Element, Terminal,  I1, %Normal, %Emergency, I2, %I2/I1, I0, %I0/I1, Iresidual, %NEMA
"Vsource.SOURCE",   1,    16921.1,        0,        0,    1080.61,    6.386,    136.065,   0.8041,    408.195,    5.362
"Vsource.SOURCE",   2,    16921.1,        0,        0,    1080.61,    6.386,    136.065,   0.8041,    408.195,    5.362
"Transformer.REG1A",   1,    16921.1,     2215,     1624,    1080.61,    6.386,    136.065,   0.8041, 8.4367E-009,    5.362
"Transformer.REG1A",   2,    15382.8,        0,        0,    982.371,    6.386,    123.695,   0.8041, 8.4367E-009,    5.362
"Line.L115",   1,    15382.8,     2564,     2564,    982.371,    6.386,    123.695,   0.8041,    371.086,    5.362
"Line.L115",   2,    15382.8,        0,        0,    982.371,    6.386,    123.695,   0.8041,    371.086,    5.362
"Line.L1",   1,          0,        0,        0,          0,        0,          0,        0,    3.11519,        0
"Line.L1",   2,          0,        0,        0,          0,        0,          0,        0,    3.11519,        0
"Line.L2",   1,          0,        0,        0,          0,        0,          0,        0,    15.5252,        0
"Line.L2",   2,          0,        0,        0,          0,        0,          0,        0,    15.5252,        0
"Line.L3",   1,    15376.3,     2563,     2563,    982.226,    6.388,    123.357,   0.8023,    370.071,    5.376
"Line.L3",   2,    15376.3,        0,        0,    982.226,    6.388,    123.357,   0.8023,    370.071,    5.376
"Line.L4",   1,          0,        0,        0,          0,        0,          0,        0,    6.27537,        0
"Line.L4",   2,          0,        0,        0,          0,        0,          0,        0,    6.27537,        0
"Line.L5",   1,          0,        0,        0,          0,        0,          0,        0,    9.25047,        0
"Line.L5",   2,          0,        0,        0,          0,        0,          0,        0,    9.25047,        0
"Line.L6",   1,          0,        0,        0,          0,        0,          0,        0,    6.14571,        0
"Line.L6",   2,          0,        0,        0,          0,        0,          0,        0,    6.14571,        0
"Line.L7",   1,    15375.5,     2563,     2563,    981.287,    6.382,    124.349,   0.8087,    373.047,    5.366
"Line.L7",   2,    15375.5,        0,        0,    981.287,    6.382,    124.349,   0.8087,    373.047,    5.366
"Line.L8",   1,          0,        0,        0,          0,        0,          0,        0,    2.95774,        0
"Line.L8",   2,          0,        0,        0,          0,        0,          0,        0,    2.95774,        0
"Line.L9",   1,          0,        0,        0,          0,        0,          0,        0,    14.9172,        0
"Line.L9",   2,          0,        0,        0,          0,        0,          0,        0,    14.9172,        0
"Line.L10",   1,    15370.9,     2562,     2562,    977.394,    6.359,    128.661,    0.837,    385.983,    5.323
"Line.L10",   2,    15370.9,        0,        0,    977.395,    6.359,    128.661,    0.837,    385.983,    5.323
"Line.L11",   1,          0,        0,        0,          0,        0,          0,        0,    8.52665,        0
"Line.L11",   2,          0,        0,        0,          0,        0,          0,        0,    8.52665,        0
"Line.L12",   1,          0,        0,        0,          0,        0,          0,        0,      12.56,        0
"Line.L12",   2,          0,        0,        0,          0,        0,          0,        0,      12.56,        0
"Line.L13",   1,    15372.1,     5124,     2562,     973.15,    6.331,    131.884,   0.8579,    395.651,    5.317
"Line.L13",   2,    15372.1,        0,        0,     973.15,    6.331,    131.884,   0.8579,    395.651,    5.317
"Line.L14",   1,          0,        0,        0,          0,        0,          0,        0,    5.59312,        0
"Line.L14",   2,          0,        0,        0,          0,        0,          0,        0,    5.59312,        0
"Line.L15",   1,          0,        0,        0,          0,        0,          0,        0,    2.93459,        0
"Line.L15",   2,          0,        0,        0,          0,        0,          0,        0,    2.93459,        0
"Line.L16",   1,          0,        0,        0,          0,        0,          0,        0,    5.17763,        0
"Line.L16",   2,          0,        0,        0,          0,        0,          0,        0,    5.17763,        0
"Line.L17",   1,          0,        0,        0,          0,        0,          0,        0,    2.58866,        0
"Line.L17",   2,          0,        0,        0,          0,        0,          0,        0,    2.58866,        0
"Line.L18",   1,          0,        0,        0,          0,        0,          0,        0,    6.27817,        0
"Line.L18",   2,          0,        0,        0,          0,        0,          0,        0,    6.27817,        0
"Line.L19",   1,      15429,     5143,     2572,    971.582,    6.297,    134.184,   0.8697,    402.552,    5.303
"Line.L19",   2,      15429,        0,        0,    971.582,    6.297,    134.184,   0.8697,    402.552,    5.303
"Line.L20",   1,          0,        0,        0,          0,        0,          0,        0,    3.13717,        0
"Line.L20",   2,          0,        0,        0,          0,        0,          0,        0,    3.13717,        0
"Line.L21",   1,          0,        0,        0,          0,        0,          0,        0,    2.86909,        0
"Line.L21",   2,          0,        0,        0,          0,        0,          0,        0,    2.86909,        0
"Line.L22",   1,    15428.2,     5143,     2571,    972.316,    6.302,    133.579,   0.8658,    400.736,    5.308
"Line.L22",   2,    15428.2,        0,        0,    972.316,    6.302,    133.579,   0.8658,    400.736,    5.308
"Line.L23",   1,          0,        0,        0,          0,        0,          0,        0,    2.35595,        0
"Line.L23",   2,          0,        0,        0,          0,        0,          0,        0,    2.35595,        0
"Line.L24",   1,    15427.6,     5143,     2571,    972.499,    6.304,    133.347,   0.8643,     400.04,    5.313
"Line.L24",   2,    15427.6,        0,        0,    972.499,    6.304,    133.347,   0.8643,     400.04,    5.313
"Line.L25",   1,          0,        0,        0,          0,        0,          0,        0,    2.18408,        0
"Line.L25",   2,          0,        0,        0,          0,        0,          0,        0,    2.18408,        0
"Line.L26",   1,    15426.4,     5142,     2571,    972.023,    6.301,    133.831,   0.8675,    401.492,     5.31
"Line.L26",   2,    15426.4,        0,        0,    972.023,    6.301,    133.831,   0.8675,    401.492,     5.31
"Line.L27",   1,          0,        0,        0,          0,        0,          0,        0,    1.93004,        0
"Line.L27",   2,          0,        0,        0,          0,        0,          0,        0,    1.93004,        0
"Line.L28",   1,          0,        0,        0,          0,        0,          0,        0,    2.05377,        0
"Line.L28",   2,          0,        0,        0,          0,        0,          0,        0,    2.05377,        0
"Line.L29",   1,          0,        0,        0,          0,        0,          0,        0,    1.93058,        0
"Line.L29",   2,          0,        0,        0,          0,        0,          0,        0,    1.93058,        0
"Line.L30",   1,    15426.1,     5142,     2571,    971.586,    6.298,    134.301,   0.8706,    402.903,    5.306
"Line.L30",   2,    15426.1,        0,        0,    971.586,    6.298,    134.301,   0.8706,    402.903,    5.306
"Line.L31",   1,    15425.8,     5142,     2571,    971.303,    6.297,    134.605,   0.8726,    403.816,    5.303
"Line.L31",   2,    15425.8,        0,        0,    971.303,    6.297,    134.605,   0.8726,    403.816,    5.303
"Line.L32",   1,    15425.7,     5142,     2571,    971.331,    6.297,    134.572,   0.8724,    403.715,    5.303
"Line.L32",   2,    15425.7,        0,        0,    971.331,    6.297,    134.572,   0.8724,    403.715,    5.303
"Line.L33",   1,          0,        0,        0,          0,        0,          0,        0,    1.02683,        0
"Line.L33",   2,          0,        0,        0,          0,        0,          0,        0,    1.02683,        0
"Line.L34",   1,          0,        0,        0,          0,        0,          0,        0,    7.76607,        0
"Line.L34",   2,          0,        0,        0,          0,        0,          0,        0,    7.76607,        0
"Line.L35",   1,          0,        0,        0,          0,        0,          0,        0,    3.17176,        0
"Line.L35",   2,          0,        0,        0,          0,        0,          0,        0,    3.17176,        0
"Line.L36",   1,    326.384,    108.8,     54.4,    1.25963,   0.3859,   0.113725,  0.03484,   0.341176,   0.3742
"Line.L36",   2,    326.384,        0,        0,    1.25974,    0.386,   0.113685,  0.03483,   0.341176,   0.3742
"Line.L37",   1,          0,        0,        0,          0,        0,          0,        0,    3.13795,        0
"Line.L37",   2,          0,        0,        0,          0,        0,          0,        0,    3.13795,        0
"Line.L38",   1,          0,        0,        0,          0,        0,          0,        0,    3.47295,        0
"Line.L38",   2,          0,        0,        0,          0,        0,          0,        0,    3.47295,        0
"Line.L39",   1,          0,        0,        0,          0,        0,          0,        0,    1.74557,        0
"Line.L39",   2,          0,        0,        0,          0,        0,          0,        0,    1.74557,        0
"Line.L40",   1,          0,        0,        0,          0,        0,          0,        0,    1.69369,        0
"Line.L40",   2,          0,        0,        0,          0,        0,          0,        0,    1.69369,        0
"Line.L41",   1,    326.788,    108.9,    54.46,    1.72956,   0.5293,    0.62475,   0.1912,    1.87425,    0.621
"Line.L41",   2,    326.788,        0,        0,     1.7297,   0.5293,   0.624734,   0.1912,    1.87425,    0.621
"Line.L42",   1,          0,        0,        0,          0,        0,          0,        0,    3.42201,        0
"Line.L42",   2,          0,        0,        0,          0,        0,          0,        0,    3.42201,        0
"Line.L43",   1,     328.07,    109.4,    54.68,   0.737965,   0.2249,   0.429145,   0.1308,    1.28744,   0.3142
"Line.L43",   2,     328.07,        0,        0,   0.738094,    0.225,   0.429177,   0.1308,    1.28744,   0.3143
"Line.L44",   1,          0,        0,        0,          0,        0,          0,        0,    3.15556,        0
"Line.L44",   2,          0,        0,        0,          0,        0,          0,        0,    3.15556,        0
"Line.L45",   1,    328.906,    109.6,    54.82,    1.05932,   0.3221,   0.877156,   0.2667,    2.63147,   0.1962
"Line.L45",   2,    328.906,        0,        0,    1.05928,   0.3221,   0.877134,   0.2667,    2.63147,   0.1961
"Line.L46",   1,          0,        0,        0,          0,        0,          0,        0,    1.57893,        0
"Line.L46",   2,          0,        0,        0,          0,        0,          0,        0,    1.57893,        0
"Line.L47",   1,    6.35202,    2.117,    1.059,   0.341637,    5.378,   0.125061,    1.969,   0.375183,    4.612
"Line.L47",   2,     6.3524,        0,        0,   0.341842,    5.381,   0.124993,    1.968,   0.375183,    4.616
"Line.L48",   1,    335.202,    111.7,    55.87,   0.557802,   0.1664,   0.796707,   0.2377,    2.39012,   0.2258
"Line.L48",   2,    335.203,        0,        0,   0.558141,   0.1665,   0.796738,   0.2377,    2.39012,   0.2259
"Line.L49",   1,    338.162,    112.7,    56.36,    0.91918,   0.2718,    1.04211,   0.3082,    3.12633,   0.3792
"Line.L49",   2,    338.162,        0,        0,   0.918983,   0.2718,    1.04199,   0.3081,    3.12633,    0.379
"Line.L50",   1,    339.009,      113,     56.5,   0.530074,   0.1564,   0.529488,   0.1562,    1.58846,   0.2566
"Line.L50",   2,    339.009,        0,        0,   0.529822,   0.1563,   0.529431,   0.1562,    1.58846,   0.2566
"Line.L51",   1, 0.00223456, 0.0007449, 0.0003724, 0.000695048,     31.1, 0.000261863,    11.72, 0.000785588,    21.11
"Line.L51",   2, 5.56496E-008,        0,        0, 2.91171E-008,    52.32, 3.0221E-008,    54.31, 0.000785588,    106.3
"Line.L52",   1,    167.593,     41.9,    27.93,    5.39682,     3.22,      2.844,    1.697,      8.532,    4.284
"Line.L52",   2,    167.593,        0,        0,    5.39704,     3.22,    2.84404,    1.697,      8.532,    4.284
"Line.L53",   1,    168.705,    42.18,    28.12,    3.96551,    2.351,    1.27454,   0.7555,    3.82361,    2.962
"Line.L53",   2,    168.706,        0,        0,    3.96565,    2.351,    1.27457,   0.7555,    3.82361,    2.962
"Line.L54",   1,    1.63824,   0.5461,    0.273,   0.863606,    52.72,   0.792742,    48.39,    2.37823,    99.78
"Line.L54",   2,    1.63909,        0,        0,   0.863873,     52.7,   0.792723,    48.36,    2.37823,    99.89
"Line.L55",   1,    90.6396,    30.21,    15.11,    3.28602,    3.625,    1.49795,    1.653,    4.49386,    4.163
"Line.L55",   2,    90.6407,        0,        0,    3.28598,    3.625,    1.49794,    1.653,    4.49386,    4.163
"Line.L56",   1,   0.887423,   0.2958,   0.1479,   0.888264,    100.1,   0.888373,    100.1,    2.66512,    199.6
"Line.L56",   2,   0.888311,        0,        0,   0.888311,      100,   0.888311,      100,    2.66512,      200
"Line.L57",   1,          0,        0,        0,          0,        0,          0,        0,    5.21861,        0
"Line.L57",   2,          0,        0,        0,          0,        0,          0,        0,    5.21861,        0
"Line.L58",   1,    88.9014,    29.63,    14.82,     3.8059,    4.281,    3.23372,    3.637,    9.70117,    6.197
"Line.L58",   2,    88.9038,        0,        0,    3.80546,     4.28,    3.23368,    3.637,    9.70117,    6.196
"Line.L59",   1,          0,        0,        0,          0,        0,          0,        0,     2.6621,        0
"Line.L59",   2,          0,        0,        0,          0,        0,          0,        0,     2.6621,        0
"Line.L60",   1, 0.00393851, 0.001313, 0.0006564, 0.000455835,    11.57, 0.000122919,    3.121, 0.000368756,    8.941
"Line.L60",   2, 3.51897E-006,        0,        0, 2.74902E-007,    7.812, 1.30007E-007,    3.694, 0.000368756,    4.592
"Line.L61",   1,    15.4089,    5.136,    2.568,    3.35315,    21.76,     2.6107,    16.94,     7.8321,    36.36
"Line.L61",   2,    15.4176,        0,        0,    3.35233,    21.74,    2.61065,    16.93,     7.8321,    36.33
"Line.L62",   1,    13.8226,    4.608,    2.304,    1.80077,    13.03,    1.39503,    10.09,    4.18508,    19.55
"Line.L62",   2,    13.8287,        0,        0,    1.80026,    13.02,    1.39487,    10.09,    4.18508,    19.54
"Line.L63",   1,    12.2332,    4.078,    2.039,    3.24893,    26.56,    2.99483,    24.48,     8.9845,    47.02
"Line.L63",   2,    12.2457,        0,        0,    3.24818,    26.53,     2.9945,    24.45,     8.9845,    46.93
"Line.L64",   1,    9.12055,     3.04,     1.52,    4.10904,    45.05,    3.18455,    34.92,    9.55364,    77.19
"Line.L64",   2,     9.1367,        0,        0,    4.10743,    44.96,    3.18471,    34.86,    9.55364,       77
"Line.L65",   1,    3.17414,    1.058,    0.529,      3.186,    100.4,    3.18471,    100.3,    9.55412,    198.6
"Line.L65",   2,    3.18483,        0,        0,    3.18483,      100,    3.18483,      100,    9.55412,      200
"Line.L66",   1,          0,        0,        0,          0,        0,          0,        0,     16.107,        0
"Line.L66",   2,          0,        0,        0,          0,        0,          0,        0,     16.107,        0
"Line.L67",   1,    40.4514,    13.48,    6.742,     2.5883,    6.399,    4.60957,     11.4,    13.8287,    15.98
"Line.L67",   2,    40.4524,        0,        0,    2.58862,    6.399,    4.60955,     11.4,    13.8287,    15.98
"Line.L68",   1,    20.2956,    6.765,    3.383,    1.28956,    6.354,    2.28984,    11.28,    6.86951,    16.18
"Line.L68",   2,    20.2965,        0,        0,    1.28941,    6.353,    2.28984,    11.28,    6.86951,    16.18
"Line.L69",   1,          0,        0,        0,          0,        0,          0,        0,    13.4217,        0
"Line.L69",   2,          0,        0,        0,          0,        0,          0,        0,    13.4217,        0
"Line.L70",   1,          0,        0,        0,          0,        0,          0,        0,    8.05207,        0
"Line.L70",   2,          0,        0,        0,          0,        0,          0,        0,    8.05207,        0
"Line.L71",   1,          0,        0,        0,          0,        0,          0,        0,    5.36815,        0
"Line.L71",   2,          0,        0,        0,          0,        0,          0,        0,    5.36815,        0
"Line.L72",   1,          0,        0,        0,          0,        0,          0,        0,    16.7579,        0
"Line.L72",   2,          0,        0,        0,          0,        0,          0,        0,    16.7579,        0
"Line.L73",   1,    34.8739,    11.62,    5.812,    6.60579,    18.94,     5.7699,    16.55,    17.3097,    30.78
"Line.L73",   2,    34.8746,        0,        0,    6.60596,    18.94,    5.76992,    16.54,    17.3097,    30.78
"Line.L74",   1,          0,        0,        0,          0,        0,          0,        0,    11.0069,        0
"Line.L74",   2,          0,        0,        0,          0,        0,          0,        0,    11.0069,        0
"Line.L75",   1,          0,        0,        0,          0,        0,          0,        0,    5.74855,        0
"Line.L75",   2,          0,        0,        0,          0,        0,          0,        0,    5.74855,        0
"Line.L76",   1,    11.1965,    3.732,    1.866,   0.762063,    6.806,   0.306538,    2.738,   0.919615,    7.957
"Line.L76",   2,    11.1979,        0,        0,   0.762296,    6.807,   0.306585,    2.738,   0.919615,    7.961
"Line.L77",   1,    11.6739,    3.891,    1.946,    4.36832,    37.42,    5.86516,    50.24,    17.5955,    64.28
"Line.L77",   2,    11.6755,        0,        0,    4.36889,    37.42,    5.86522,    50.24,    17.5955,     64.3
"Line.L78",   1,    9.22661,    3.076,    1.538,    1.35513,    14.69,    2.03715,    22.08,    6.11144,    36.05
"Line.L78",   2,    9.22696,        0,        0,    1.35511,    14.69,    2.03714,    22.08,    6.11144,    36.05
"Line.L79",   1,    1.64925,   0.5498,   0.2749,    1.65011,    100.1,    1.64998,      100,    4.94993,    199.8
"Line.L79",   2,    1.64995,        0,        0,    1.64995,      100,    1.64995,      100,    4.94993,      200
"Line.L80",   1,    7.58099,    2.527,    1.263,    1.91824,     25.3,    2.02622,    26.73,    6.07865,    51.41
"Line.L80",   2,    7.58268,        0,        0,     1.9185,     25.3,    2.02625,    26.72,    6.07865,     51.4
"Line.L81",   1,    5.61196,    1.871,   0.9353,    3.12098,    55.61,    3.52165,    62.75,    10.5649,    104.4
"Line.L81",   2,     5.6126,        0,        0,      3.121,    55.61,    3.52165,    62.75,    10.5649,    104.4
"Line.L82",   1,    2.74305,   0.9144,   0.4572,     1.4441,    52.65,    1.65907,    60.48,    4.97722,    99.86
"Line.L82",   2,    2.74389,        0,        0,    1.44395,    52.62,    1.65904,    60.46,    4.97722,    99.93
"Line.L83",   1,          0,        0,        0,          0,        0,          0,        0,     8.6202,        0
"Line.L83",   2,          0,        0,        0,          0,        0,          0,        0,     8.6202,        0
"Line.L84",   1,   0.957537,   0.3192,   0.1596,   0.958392,    100.1,   0.958486,    100.1,    2.87546,    199.6
"Line.L84",   2,   0.958504,        0,        0,   0.958504,      100,   0.958504,      100,    2.87546,      200
"Line.L85",   1,          0,        0,        0,          0,        0,          0,        0,    5.74715,        0
"Line.L85",   2,          0,        0,        0,          0,        0,          0,        0,    5.74715,        0
"Line.L86",   1,    10.7041,    3.568,    1.784,    3.72396,    34.79,    4.90342,    45.81,    14.7103,    52.61
"Line.L86",   2,    10.7051,        0,        0,     3.7238,    34.79,    4.90344,     45.8,    14.7103,    52.62
"Line.L87",   1,          0,        0,        0,          0,        0,          0,        0,     5.3684,        0
"Line.L87",   2,          0,        0,        0,          0,        0,          0,        0,     5.3684,        0
"Line.L88",   1,    7.01296,    2.338,    1.169,    1.75578,    25.04,    3.77968,     53.9,     11.339,    50.37
"Line.L88",   2,    7.01338,        0,        0,    1.75568,    25.03,     3.7797,    53.89,     11.339,    50.38
"Line.L89",   1,          0,        0,        0,          0,        0,          0,        0,     5.6422,        0
"Line.L89",   2,          0,        0,        0,          0,        0,          0,        0,     5.6422,        0
"Line.L90",   1,    5.21637,   0.1736,   0.8694,    1.68982,    32.39,    1.91373,    36.69,     5.7412,    7.468
"Line.L90",   2,    5.21655,        0,        0,    1.68966,    32.39,    1.91375,    36.69,     5.7412,    7.461
"Line.L91",   1,          0,        0,        0,          0,        0,          0,        0,    6.12148,        0
"Line.L91",   2,          0,        0,        0,          0,        0,          0,        0,    6.12148,        0
"Line.L92",   1,    3.75592,    1.252,    0.626,    1.96805,     52.4,    1.80282,       48,    5.40846,    99.88
"Line.L92",   2,    3.75665,        0,        0,    1.96798,    52.39,     1.8028,    47.99,    5.40846,    99.93
"Line.L93",   1,          0,        0,        0,          0,        0,          0,        0,    5.36747,        0
"Line.L93",   2,          0,        0,        0,          0,        0,          0,        0,    5.36747,        0
"Line.L94",   1,    1.96866,   0.6562,   0.3281,     1.9696,      100,    1.96968,    100.1,    5.90903,    199.8
"Line.L94",   2,     1.9697,        0,        0,     1.9697,      100,     1.9697,      100,    5.90903,      200
"Line.L95",   1,          0,        0,        0,          0,        0,          0,        0,    2.95425,        0
"Line.L95",   2,          0,        0,        0,          0,        0,          0,        0,    2.95425,        0
"Line.L96",   1,    5.50433,    1.835,   0.9174,   0.373665,    6.789,  0.0522619,   0.9495,   0.156786,    7.219
"Line.L96",   2,    5.50528,        0,        0,   0.373991,    6.793,   0.052302,     0.95,   0.156786,    7.224
"Line.L97",   1,    3.71819,    1.239,   0.6197,    1.97031,    52.99,    1.77201,    47.66,    5.31604,     99.7
"Line.L97",   2,     3.7202,        0,        0,    1.97073,    52.97,    1.77197,    47.63,    5.31604,     99.8
"Line.L98",   1,    1.74952,   0.5832,   0.2916,    1.75432,    100.3,    1.75395,    100.3,    5.26186,      199
"Line.L98",   2,    1.75068,        0,        0,    1.75418,    100.2,    1.75391,    100.2,    5.26186,    199.3
"Line.L99",   1, 0.00632914,  0.00211, 0.001055, 0.000954673,    15.08, 0.000118126,    1.866, 0.000354378,    13.69
"Line.L99",   2, 9.34064E-012,        0,        0, 8.63205E-012,    92.41, 1.91738E-012,    20.53, 0.000354378,     37.6
"Line.L118",   1,    14.7921,    4.931,    2.465,    1.48039,    10.01,     2.2951,    15.52,    6.88531,    23.16
"Line.L118",   2,     14.793,        0,        0,    1.48019,    10.01,    2.29511,    15.51,    6.88531,    23.16
"Line.L100",   1,          0,        0,        0,          0,        0,          0,        0,    14.3729,        0
"Line.L100",   2,          0,        0,        0,          0,        0,          0,        0,    14.3729,        0
"Line.L101",   1,    10.0162,    3.339,    1.669,    5.53611,    55.27,    5.14856,     51.4,    15.4457,    99.86
"Line.L101",   2,    10.0171,        0,        0,    5.53616,    55.27,     5.1486,     51.4,    15.4457,    99.89
"Line.L102",   1,          0,        0,        0,          0,        0,          0,        0,    11.4975,        0
"Line.L102",   2,          0,        0,        0,          0,        0,          0,        0,    11.4975,        0
"Line.L103",   1,          0,        0,        0,          0,        0,          0,        0,    5.74757,        0
"Line.L103",   2,          0,        0,        0,          0,        0,          0,        0,    5.74757,        0
"Line.L104",   1,          0,        0,        0,          0,        0,          0,        0,    11.8293,        0
"Line.L104",   2,          0,        0,        0,          0,        0,          0,        0,    11.8293,        0
"Line.L105",   1,    6.07721,    2.026,    1.013,     6.0821,    100.1,    6.08121,    100.1,    18.2436,    199.6
"Line.L105",   2,    6.07821,        0,        0,     6.0819,    100.1,    6.08123,      100,    18.2436,    199.7
"Line.L106",   1,          0,        0,        0,          0,        0,          0,        0,     5.9136,        0
"Line.L106",   2,          0,        0,        0,          0,        0,          0,        0,     5.9136,        0
"Line.L107",   1,          0,        0,        0,          0,        0,          0,        0,    18.2439,        0
"Line.L107",   2,          0,        0,        0,          0,        0,          0,        0,    18.2439,        0
"Line.L108",   1, 0.00791089, 0.002637, 0.001318, 0.00119394,    15.09, 0.000146581,    1.853, 0.000439742,    13.71
"Line.L108",   2, 4.98446E-012,        0,        0, 4.65414E-012,    93.37, 2.12215E-012,    42.58, 0.000439742,    31.56
"Line.L109",   1,          0,        0,        0,          0,        0,          0,        0,    12.8784,        0
"Line.L109",   2,          0,        0,        0,          0,        0,          0,        0,    12.8784,        0
"Line.L110",   1,          0,        0,        0,          0,        0,          0,        0,    2.68102,        0
"Line.L110",   2,          0,        0,        0,          0,        0,          0,        0,    2.68102,        0
"Line.L111",   1,          0,        0,        0,          0,        0,          0,        0,     10.198,        0
"Line.L111",   2,          0,        0,        0,          0,        0,          0,        0,     10.198,        0
"Line.L112",   1,          0,        0,        0,          0,        0,          0,        0,    7.62355,        0
"Line.L112",   2,          0,        0,        0,          0,        0,          0,        0,    7.62355,        0
"Line.L113",   1,          0,        0,        0,          0,        0,          0,        0,    2.68074,        0
"Line.L113",   2,          0,        0,        0,          0,        0,          0,        0,    2.68074,        0
"Line.L114",   1,    323.811,    107.9,    53.97,     3.4099,    1.053,    1.11447,   0.3442,     3.3434,    1.169
"Line.L114",   2,    323.812,        0,        0,    3.41013,    1.053,    1.11461,   0.3442,     3.3434,    1.169
"Line.L116",   1,    166.489,    41.62,    27.75,    6.90678,    4.148,    4.44288,    2.669,    13.3286,    5.589
"Line.L116",   2,     166.49,        0,        0,    6.90721,    4.149,    4.44296,    2.669,    13.3286,    5.589
