Element, Terminal,  I1, %Normal, %Emergency, I2, %I2/I1, I0, %I0/I1, Iresidual, %NEMA
"Vsource.SOURCE",   1,    185.401,        0,        0,    24.7978,    13.38,    17.0786,    9.212,    51.2359,    21.03
"Vsource.SOURCE",   2,    185.401,        0,        0,    24.7978,    13.38,    17.0786,    9.212,    51.2359,    21.03
"Transformer.REG1A",   1,    185.401,    24.27,     17.8,    24.7978,    13.38,    17.0786,    9.212, 7.45149E-009,    21.03
"Transformer.REG1A",   2,    183.112,        0,        0,    24.4916,    13.38,    16.8678,    9.212, 7.45149E-009,    21.03
"Line.L115",   1,    183.112,    30.52,    30.52,    24.4916,    13.38,    16.8678,    9.212,    50.6033,    21.03
"Line.L115",   2,    183.114,        0,        0,     24.492,    13.38,    16.8679,    9.212,    50.6033,    21.03
"Line.L1",   1,          0,        0,        0,          0,        0,          0,        0,    3.06865,        0
"Line.L1",   2,          0,        0,        0,          0,        0,          0,        0,    3.06865,        0
"Line.L2",   1,          0,        0,        0,          0,        0,          0,        0,    15.5252,        0
"Line.L2",   2,          0,        0,        0,          0,        0,          0,        0,    15.5252,        0
"Line.L3",   1,    174.872,    29.15,    29.15,    24.6136,    14.08,    16.7899,    9.601,    50.3698,    23.22
"Line.L3",   2,    174.873,        0,        0,    24.6139,    14.08,      16.79,    9.601,    50.3698,    23.22
"Line.L4",   1,          0,        0,        0,          0,        0,          0,        0,     6.1428,        0
"Line.L4",   2,          0,        0,        0,          0,        0,          0,        0,     6.1428,        0
"Line.L5",   1,          0,        0,        0,          0,        0,          0,        0,    9.38305,        0
"Line.L5",   2,          0,        0,        0,          0,        0,          0,        0,    9.38305,        0
"Line.L6",   1,          0,        0,        0,          0,        0,          0,        0,    6.27831,        0
"Line.L6",   2,          0,        0,        0,          0,        0,          0,        0,    6.27831,        0
"Line.L7",   1,    173.848,    28.97,    28.97,    23.6048,    13.58,    15.7854,     9.08,    47.3562,    22.17
