Element, Terminal,  I1, %Normal, %Emergency, I2, %I2/I1, I0, %I0/I1, Iresidual, %NEMA
"Vsource.SOURCE",   1,    185.401,        0,        0,    24.7979,    13.38,    17.0787,    9.212,    51.2362,    21.03
"Vsource.SOURCE",   2,    185.401,        0,        0,    24.7979,    13.38,    17.0787,    9.212,    51.2362,    21.03
"Transformer.REG1A",   1,    185.401,    24.27,     17.8,    24.7979,    13.38,    17.0787,    9.212, 3.37604E-009,    21.03
"Transformer.REG1A",   2,    183.113,        0,        0,    24.4917,    13.38,    16.8679,    9.212, 3.37604E-009,    21.03
"Line.L115",   1,    183.113,    30.52,    30.52,    24.4917,    13.38,    16.8679,    9.212,    50.6036,    21.03
"Line.L115",   2,    183.114,        0,        0,    24.4921,    13.38,     16.868,    9.212,    50.6036,    21.03
"Line.L1",   1,          0,        0,        0,          0,        0,          0,        0,    3.06865,        0
"Line.L1",   2,          0,        0,        0,          0,        0,          0,        0,    3.06865,        0
"Line.L2",   1,          0,        0,        0,          0,        0,          0,        0,    15.5252,        0
"Line.L2",   2,          0,        0,        0,          0,        0,          0,        0,    15.5252,        0
"Line.L3",   1,    174.872,    29.15,    29.15,    24.6137,    14.08,      16.79,    9.601,    50.3701,    23.22
"Line.L3",   2,    174.873,        0,        0,     24.614,    14.08,    16.7901,    9.601,    50.3701,    23.22
"Line.L4",   1,          0,        0,        0,          0,        0,          0,        0,     6.1428,        0
"Line.L4",   2,          0,        0,        0,          0,        0,          0,        0,     6.1428,        0
"Line.L5",   1,          0,        0,        0,          0,        0,          0,        0,    9.38306,        0
"Line.L5",   2,          0,        0,        0,          0,        0,          0,        0,    9.38306,        0
"Line.L6",   1,          0,        0,        0,          0,        0,          0,        0,    6.27831,        0
"Line.L6",   2,          0,        0,        0,          0,        0,          0,        0,    6.27831,        0
"Line.L7",   1,    173.849,    28.97,    28.97,    23.6049,    13.58,    15.7855,     9.08,    47.3565,    22.17
"Line.L7",   2,     173.85,        0,        0,    23.6051,    13.58,    15.7855,     9.08,    47.3565,    22.17
"Line.L8",   1,          0,        0,        0,          0,        0,          0,        0,    3.07045,        0
"Line.L8",   2,          0,        0,        0,          0,        0,          0,        0,    3.07045,        0
"Line.L9",   1,          0,        0,        0,          0,        0,          0,        0,    15.6218,        0
"Line.L9",   2,          0,        0,        0,          0,        0,          0,        0,    15.6218,        0
"Line.L10",   1,    167.622,    27.94,    27.94,    19.2242,    11.47,    11.5205,    6.873,    34.5614,     17.4
"Line.L10",   2,    167.623,        0,        0,    19.2245,    11.47,    11.5205,    6.873,    34.5614,     17.4
"Line.L11",   1,          0,        0,        0,          0,        0,          0,        0,    9.40626,        0
"Line.L11",   2,          0,        0,        0,          0,        0,          0,        0,    9.40626,        0
"Line.L12",   1,          0,        0,        0,          0,        0,          0,        0,     15.499,        0
"Line.L12",   2,          0,        0,        0,          0,        0,          0,        0,     15.499,        0
"Line.L13",   1,    59.6977,     19.9,     9.95,    9.42255,    15.78,    7.49764,    12.56,    22.4929,    27.92
"Line.L13",   2,    59.7016,        0,        0,    9.42232,    15.78,    7.49747,    12.56,    22.4929,    27.91
"Line.L14",   1,          0,        0,        0,          0,        0,          0,        0,    6.30249,        0
"Line.L14",   2,          0,        0,        0,          0,        0,          0,        0,    6.30249,        0
"Line.L15",   1,          0,        0,        0,          0,        0,          0,        0,    3.10495,        0
"Line.L15",   2,          0,        0,        0,          0,        0,          0,        0,    3.10495,        0
"Line.L16",   1,          0,        0,        0,          0,        0,          0,        0,    6.15456,        0
"Line.L16",   2,          0,        0,        0,          0,        0,          0,        0,    6.15456,        0
"Line.L17",   1,          0,        0,        0,          0,        0,          0,        0,    3.07665,        0
"Line.L17",   2,          0,        0,        0,          0,        0,          0,        0,    3.07665,        0
"Line.L18",   1,          0,        0,        0,          0,        0,          0,        0,    12.3795,        0
"Line.L18",   2,          0,        0,        0,          0,        0,          0,        0,    12.3795,        0
"Line.L19",   1,    14.4803,    4.827,    2.413,    4.11838,    28.44,     4.0958,    28.29,    12.2874,    56.72
"Line.L19",   2,    14.4816,        0,        0,    4.11864,    28.44,    4.09579,    28.28,    12.2874,    56.72
"Line.L20",   1,          0,        0,        0,          0,        0,          0,        0,     6.2104,        0
"Line.L20",   2,          0,        0,        0,          0,        0,          0,        0,     6.2104,        0
"Line.L21",   1,          0,        0,        0,          0,        0,          0,        0,    6.27359,        0
"Line.L21",   2,          0,        0,        0,          0,        0,          0,        0,    6.27359,        0
"Line.L22",   1,    12.3904,     4.13,    2.065,    6.20969,    50.12,    6.18676,    49.93,    18.5603,    99.89
"Line.L22",   2,    12.3914,        0,        0,    6.20991,    50.11,    6.18675,    49.93,    18.5603,    99.91
"Line.L23",   1,          0,        0,        0,          0,        0,          0,        0,    6.16015,        0
"Line.L23",   2,          0,        0,        0,          0,        0,          0,        0,    6.16015,        0
"Line.L24",   1,     10.338,    3.446,    1.723,    5.49955,     53.2,    5.48193,    53.03,    16.4458,    99.89
"Line.L24",   2,    10.3392,        0,        0,    5.49971,    53.19,     5.4819,    53.02,    16.4458,    99.91
"Line.L25",   1,          0,        0,        0,          0,        0,          0,        0,    6.15323,        0
"Line.L25",   2,          0,        0,        0,          0,        0,          0,        0,    6.15323,        0
"Line.L26",   1,     6.2042,    2.068,    1.034,    3.60198,    58.06,     3.5939,    57.93,    10.7817,    100.7
"Line.L26",   2,    6.20505,        0,        0,    3.60206,    58.05,    3.59387,    57.92,    10.7817,    100.7
"Line.L27",   1,          0,        0,        0,          0,        0,          0,        0,    6.20836,        0
"Line.L27",   2,          0,        0,        0,          0,        0,          0,        0,    6.20836,        0
"Line.L28",   1,          0,        0,        0,          0,        0,          0,        0,    6.12243,        0
"Line.L28",   2,          0,        0,        0,          0,        0,          0,        0,    6.12243,        0
"Line.L29",   1,          0,        0,        0,          0,        0,          0,        0,    6.20991,        0
"Line.L29",   2,          0,        0,        0,          0,        0,          0,        0,    6.20991,        0
"Line.L30",   1,    4.13462,    1.378,   0.6891,    2.07235,    50.12,     2.0655,    49.96,     6.1965,    99.82
"Line.L30",   2,    4.13589,        0,        0,    2.07262,    50.11,    2.06548,    49.94,     6.1965,    99.88
"Line.L31",   1,    2.05172,   0.6839,    0.342,    2.05348,    100.1,    2.05396,    100.1,    6.16187,    199.5
"Line.L31",   2,    2.05321,        0,        0,    2.05384,      100,    2.05402,      100,    6.16187,    199.8
"Line.L32",   1, 0.00190198, 0.000634, 0.000317, 0.000225545,    11.86, 4.62919E-005,    2.434, 0.000138876,     8.65
"Line.L32",   2, 2.72897E-011,        0,        0, 2.94446E-011,    107.9, 1.95535E-011,    71.65, 0.000138876,    57.64
"Line.L33",   1,          0,        0,        0,          0,        0,          0,        0,    3.06118,        0
