Element, Terminal,  I1, %Normal, %Emergency, I2, %I2/I1, I0, %I0/I1, Iresidual, %NEMA
"Vsource.SOURCE",   1,    16981.3,        0,        0,    1070.77,    6.306,    136.857,   0.8059,    410.572,    5.301
"Vsource.SOURCE",   2,    16981.3,        0,        0,    1070.77,    6.306,    136.857,   0.8059,    410.572,    5.301
"Transformer.REG1A",   1,    16981.3,     2223,     1630,    1070.77,    6.306,    136.857,   0.8059, 7.49501E-009,    5.301
"Transformer.REG1A",   2,    15437.5,        0,        0,    973.427,    6.306,    124.416,   0.8059, 7.49501E-009,    5.301
"Line.L115",   1,    15437.5,     2573,     2573,    973.427,    6.306,    124.416,   0.8059,    373.247,    5.301
"Line.L115",   2,    15437.5,        0,        0,    973.427,    6.306,    124.416,   0.8059,    373.247,    5.301
"Line.L1",   1,          0,        0,        0,          0,        0,          0,        0,    3.11622,        0
"Line.L1",   2,          0,        0,        0,          0,        0,          0,        0,    3.11622,        0
"Line.L2",   1,          0,        0,        0,          0,        0,          0,        0,    15.5252,        0
"Line.L2",   2,          0,        0,        0,          0,        0,          0,        0,    15.5252,        0
"Line.L3",   1,    15430.9,     2572,     2572,    973.278,    6.307,    124.058,    0.804,    372.174,    5.315
"Line.L3",   2,    15430.9,        0,        0,    973.278,    6.307,    124.058,    0.804,    372.174,    5.315
"Line.L4",   1,          0,        0,        0,          0,        0,          0,        0,    6.27792,        0
"Line.L4",   2,          0,        0,        0,          0,        0,          0,        0,    6.27792,        0
"Line.L5",   1,          0,        0,        0,          0,        0,          0,        0,    9.24797,        0
"Line.L5",   2,          0,        0,        0,          0,        0,          0,        0,    9.24797,        0
"Line.L6",   1,          0,        0,        0,          0,        0,          0,        0,    6.14321,        0
"Line.L6",   2,          0,        0,        0,          0,        0,          0,        0,    6.14321,        0
"Line.L7",   1,    15430.1,     2572,     2572,     972.34,    6.302,    125.049,   0.8104,    375.148,    5.305
"Line.L7",   2,    15430.1,        0,        0,     972.34,    6.302,    125.049,   0.8104,    375.148,    5.305
"Line.L8",   1,          0,        0,        0,          0,        0,          0,        0,    2.95489,        0
"Line.L8",   2,          0,        0,        0,          0,        0,          0,        0,    2.95489,        0
"Line.L9",   1,          0,        0,        0,          0,        0,          0,        0,    14.8934,        0
"Line.L9",   2,          0,        0,        0,          0,        0,          0,        0,    14.8934,        0
"Line.L10",   1,    15425.5,     2571,     2571,    968.452,    6.278,    129.359,   0.8386,    388.077,    5.261
"Line.L10",   2,    15425.5,        0,        0,    968.452,    6.278,    129.359,   0.8386,    388.077,    5.261
"Line.L11",   1,          0,        0,        0,          0,        0,          0,        0,     8.5136,        0
"Line.L11",   2,          0,        0,        0,          0,        0,          0,        0,     8.5136,        0
"Line.L12",   1,          0,        0,        0,          0,        0,          0,        0,    12.5413,        0
"Line.L12",   2,          0,        0,        0,          0,        0,          0,        0,    12.5413,        0
"Line.L13",   1,    15346.4,     5115,     2558,    964.312,    6.284,    132.514,   0.8635,    397.542,    5.264
"Line.L13",   2,    15346.4,        0,        0,    964.312,    6.284,    132.514,   0.8635,    397.542,    5.264
"Line.L14",   1,          0,        0,        0,          0,        0,          0,        0,    5.58473,        0
"Line.L14",   2,          0,        0,        0,          0,        0,          0,        0,    5.58473,        0
"Line.L15",   1,          0,        0,        0,          0,        0,          0,        0,    2.92992,        0
"Line.L15",   2,          0,        0,        0,          0,        0,          0,        0,    2.92992,        0
"Line.L16",   1,          0,        0,        0,          0,        0,          0,        0,    5.16953,        0
"Line.L16",   2,          0,        0,        0,          0,        0,          0,        0,    5.16953,        0
"Line.L17",   1,          0,        0,        0,          0,        0,          0,        0,    2.58461,        0
"Line.L17",   2,          0,        0,        0,          0,        0,          0,        0,    2.58461,        0
"Line.L18",   1,          0,        0,        0,          0,        0,          0,        0,    6.26099,        0
"Line.L18",   2,          0,        0,        0,          0,        0,          0,        0,    6.26099,        0
"Line.L19",   1,    15403.2,     5134,     2567,    962.751,     6.25,    134.806,   0.8752,    404.419,    5.251
"Line.L19",   2,    15403.2,        0,        0,    962.751,     6.25,    134.806,   0.8752,    404.419,    5.251
"Line.L20",   1,          0,        0,        0,          0,        0,          0,        0,    3.12901,        0
"Line.L20",   2,          0,        0,        0,          0,        0,          0,        0,    3.12901,        0
