Element, Terminal,  I1, %Normal, %Emergency, I2, %I2/I1, I0, %I0/I1, Iresidual, %NEMA
"Vsource.SOURCE",   1,    229.531,        0,        0,    24.7742,    10.79,    17.0081,     7.41,    51.0243,    10.23
"Vsource.SOURCE",   2,    229.531,        0,        0,    24.7742,    10.79,    17.0081,     7.41,    51.0243,    10.23
"Transformer.REG1A",   1,    229.531,    30.05,    22.03,    24.7742,    10.79,    17.0081,     7.41, 7.99884E-009,    10.23
"Transformer.REG1A",   2,    226.698,        0,        0,    24.4684,    10.79,    16.7981,     7.41, 7.99884E-009,    10.23
"Line.L115",   1,    226.698,    37.78,    37.78,    24.4684,    10.79,    16.7981,     7.41,    50.3944,    10.23
"Line.L115",   2,    226.699,        0,        0,    24.4687,    10.79,    16.7982,     7.41,    50.3944,    10.23
"Line.L1",   1,          0,        0,        0,          0,        0,          0,        0,    3.06628,        0
"Line.L1",   2,          0,        0,        0,          0,        0,          0,        0,    3.06628,        0
"Line.L2",   1,          0,        0,        0,          0,        0,          0,        0,    15.5253,        0
"Line.L2",   2,          0,        0,        0,          0,        0,          0,        0,    15.5253,        0
"Line.L3",   1,    231.514,    38.59,    38.59,    24.6188,    10.63,    16.7009,    7.214,    50.1026,    9.531
"Line.L3",   2,    231.515,        0,        0,    24.6191,    10.63,    16.7009,    7.214,    50.1026,     9.53
"Line.L4",   1,          0,        0,        0,          0,        0,          0,        0,    6.13746,        0
"Line.L4",   2,          0,        0,        0,          0,        0,          0,        0,    6.13746,        0
"Line.L5",   1,          0,        0,        0,          0,        0,          0,        0,    9.38851,        0
"Line.L5",   2,          0,        0,        0,          0,        0,          0,        0,    9.38851,        0
"Line.L6",   1,          0,        0,        0,          0,        0,          0,        0,    6.28377,        0
"Line.L6",   2,          0,        0,        0,          0,        0,          0,        0,    6.28377,        0
"Line.L7",   1,    232.126,    38.69,    38.69,    23.6115,    10.17,    15.6995,    6.763,    47.0985,      9.1
"Line.L7",   2,    232.127,        0,        0,    23.6116,    10.17,    15.6995,    6.763,    47.0985,      9.1
"Line.L8",   1,          0,        0,        0,          0,        0,          0,        0,    3.06512,        0
"Line.L8",   2,          0,        0,        0,          0,        0,          0,        0,    3.06512,        0
"Line.L9",   1,          0,        0,        0,          0,        0,          0,        0,    15.6224,        0
"Line.L9",   2,          0,        0,        0,          0,        0,          0,        0,    15.6224,        0
"Line.L10",   1,    235.917,    39.32,    39.32,    19.2199,    8.147,    11.4406,    4.849,    34.3219,    7.912
"Line.L10",   2,    235.918,        0,        0,    19.2201,    8.147,    11.4407,    4.849,    34.3219,    7.912
"Line.L11",   1,          0,        0,        0,          0,        0,          0,        0,     9.4258,        0
"Line.L11",   2,          0,        0,        0,          0,        0,          0,        0,     9.4258,        0
"Line.L12",   1,          0,        0,        0,          0,        0,          0,        0,    15.4912,        0
"Line.L12",   2,          0,        0,        0,          0,        0,          0,        0,    15.4912,        0
"Line.L13",   1,    134.988,       45,     22.5,    9.44355,    6.996,    7.49752,    5.554,    22.4926,    9.687
"Line.L13",   2,    134.991,        0,        0,    9.44333,    6.996,    7.49735,    5.554,    22.4926,    9.686
"Line.L14",   1,          0,        0,        0,          0,        0,          0,        0,    6.32204,        0
"Line.L14",   2,          0,        0,        0,          0,        0,          0,        0,    6.32204,        0
"Line.L15",   1,          0,        0,        0,          0,        0,          0,        0,    3.10495,        0
"Line.L15",   2,          0,        0,        0,          0,        0,          0,        0,    3.10495,        0
"Line.L16",   1,          0,        0,        0,          0,        0,          0,        0,    6.13844,        0
"Line.L16",   2,          0,        0,        0,          0,        0,          0,        0,    6.13844,        0
"Line.L17",   1,          0,        0,        0,          0,        0,          0,        0,    3.06859,        0
"Line.L17",   2,          0,        0,        0,          0,        0,          0,        0,    3.06859,        0
"Line.L18",   1,          0,        0,        0,          0,        0,          0,        0,    12.3491,        0
"Line.L18",   2,          0,        0,        0,          0,        0,          0,        0,    12.3491,        0
"Line.L19",   1,    14.4724,    4.824,    2.412,    4.10758,    28.38,    4.07977,    28.19,    12.2393,    56.56
